ID,escaneado,fonte,Ano,Decada,Condenação,Multa,TC,Relevante,Limítrofe,Motivo,
19957-002172-2017-01,Não,PCTC,2017,2010,,,,,,,
19957-007335-2023-82,Não,PCTC,2023,2020,,,,,,,
IA-2011-02,Não,ESJ,2011,2010,,,,,,,
19957-004339-2023-17,Não,PCTC,2023,2020,,,,,,,
IA-2001-17,Não,ESJ,2001,2000,,,,,,,
19957-005641-2018-17,Não,PCTC,2018,2010,,,,,,,
RJ-2015-10276,Não,ESJ,2015,2010,,,,,,,
IA-2009-08,Não,ESJ,2009,2000,,,,,,,
IA-1999-28,Não,ESJ,1999,1990,,,,,,,
RJ-2006-01512,Não,PCTC,2006,2000,,,,,,,
RJ-2005-09245,Não,ESJ,2005,2000,,,,,,,
SP-2010-00186,Não,ESJ,2010,2010,,,,,,,
IA-1999-27,Não,ESJ,1999,1990,,,,,,,
19957-003801-2018-93,Não,PCTC,2018,2010,,,,,,,
19957-006371-2021-67,Não,PCTC,2021,2020,,,,,,,
19957-012388-2023-15,Não,PCTC,2023,2020,,,,,,,
RJ-2012-11199,Não,PCTC,2012,2010,,,,,,,
19957-009592-2017-19,Não,ESJ,2017,2010,,,,,,,
19957-007123-2020-52,Não,PCTC,2020,2020,,,,,,,
IA-2000-02,Não,ESJ,2000,2000,,,,,,,
RJ-2013-13151,Não,ESJ,2013,2010,,,,,,,
RJ-2001-04619,Não,PCTC,2001,2000,,,,,,,
RJ-2007-10681,Não,PCTC,2007,2000,,,,,,,
SP-2013-00094,Não,ESJ,2013,2010,,,,,,,
IA-2004-24,Não,ESJ,2004,2000,,,,,,,
RJ-2003-12818,Não,ESJ,2003,2000,,,,,,,
19957-005536-2017-05,Não,PCTC,2017,2010,,,,,,,
IA-2004-10,Não,PCTC,2004,2000,,,,,,,
RJ-2007-14153,Não,PCTC,2007,2000,,,,,,,
RJ-2007-12231,Não,PCTC,2007,2000,,,,,,,
19957-000861-2019-35,Não,PCTC,2019,2010,,,,,,,
RJ-2005-05204,Não,ESJ,2005,2000,,,,,,,
RJ-2010-14407,Não,ESJ,2010,2010,,,,,,,
